method,path,operation_id,terraform_kind,terraform_name,write_mode,target_release,status,notes
GET,/domains/ns/{domain},getDomainNameservers,resource-read;data-source,easydns_domain_nameservers,n/a,v0.3.0,complete,Nameservers modeled as a normalized sorted set; refused with HTTP 400 Authentication Error on the observed sandbox account
POST,/domains/ns/{domain},updateDomainNameservers,resource-update,easydns_domain_nameservers,n/a,v0.3.0,complete,Create adopts the domain and applies the complete set; destroy leaves delegation in place
GET,/user,getUserInfo,data-source,easydns_current_user,n/a,v0.3.0,complete,All identity contact address phone email and URL fields are marked sensitive
PUT,/users/{user},createUser,excluded,,n/a,post-v1,excluded,No complete read/delete lifecycle and returned credentials would be stored in durable state
POST,/users/{user}/info,updateUserDS,excluded,,n/a,post-v1,excluded,Encrypted request contract is underspecified and arbitrary-user refresh is unavailable
PUT,/zones/async/ux/records/add/{domain}/{type},addUXZoneRec,resource-create,easydns_record,asynchronous,v0.2.0,complete,Pre-write ID snapshot and read reconciliation handle empty responses
POST,/zones/async/ux/records/{id},modUXZoneRec,resource-update,easydns_record,asynchronous,v0.2.0,complete,Polls until the desired record is observable
PUT,/zones/records/add/{domain}/{type},addZoneRec,resource-create,easydns_record,synchronous,v0.2.0,complete,Pre-write ID snapshot and read reconciliation handle empty responses
GET,/zones/records/all/{domain},listZone,resource-read;data-source,easydns_record; easydns_records,n/a,v0.2.0,complete,Pagination stable numeric-ID ordering and scalar coercion implemented
GET,/zones/records/all/{domain}/search/{keyword},searchZone,data-source,easydns_records,n/a,v0.2.0,complete,Optional search_keyword selects the escaped server-side search endpoint
GET,/zones/records/parsed/{domain},listParsedZone,data-source,easydns_parsed_records,n/a,v0.2.0,complete,Exposes URL and original rdata fields with stable ordering
GET,/zones/records/soa/{domain},getZoneSOA,data-source,easydns_zone_soa,n/a,v0.2.0,complete,Supports documented root and observed envelope-compatible shapes
DELETE,/zones/records/{domain}/{id},delZoneRec,resource-delete,easydns_record,synchronous,v0.2.0,complete,Polls until the record ID is absent
DELETE,/zones/async/ux/records/{domain}/{id},delUXZoneRec,resource-delete,easydns_record,asynchronous,v0.2.0,complete,Polls until absence after the queued reload
POST,/zones/records/{id},modZoneRec,resource-update,easydns_record,synchronous,v0.2.0,complete,Reconciles the desired value after success or an ambiguous response
GET,/zones/reload/{domain}/force,forceZoneReload,action,easydns_force_zone_reload,n/a,v1.0.0,complete,Side-effecting GET is explicitly classified as a mutation and is never automatically retried
GET,/zones/geo/region/list,listGeoRegions,data-source,easydns_geo_regions,n/a,v0.2.0,complete,Follows start/max pagination and sorts by numeric region ID unless a caller requests one page
GET,/mail/maps/{domain},listMailmaps,resource-read;data-source,easydns_mailmap; easydns_mailmaps,n/a,v0.3.0,complete,Collection nests under data.mailmaps and the key is absent entirely when a domain has none; resource read selects mailmap_id
PUT,/mail/maps/{domain},createMailmap,resource-create,easydns_mailmap,n/a,v0.3.0,complete,One PUT followed by pre/post collection reconciliation; destinations compare without ordering drift
DELETE,/mail/maps/{domain}/{mailmap_id},deleteMailmap,resource-delete,easydns_mailmap,n/a,v0.3.0,complete,One DELETE followed by absence polling; import retains the immutable numeric ID
POST,/mail/maps/{domain}/{email},updateMailmap,resource-update,easydns_mailmap,n/a,v0.3.0,complete,"Stored alias is fully qualified as alias@domain; sandbox returns HTTP 406 ""context restrictions"" for the update endpoint regardless of path form, while create and delete succeed"
GET,/services/{service_id}/description,getServiceDescription,data-source,easydns_service,n/a,v0.3.0,complete,Read-only service metadata with flexible scalar decoding
GET,/services/subscription/{subscription_id}/description,getSubscriptionServiceDescription,data-source,easydns_subscription_service,n/a,v0.3.0,complete,Read-only subscription metadata with flexible scalar decoding
POST,/domains/service/check/{domain},getServicePricingForDomain,data-source,easydns_domain_pricing,n/a,v0.3.0,complete,POST is explicitly classified read-only; bounded read retries apply and exact decimals are preserved as strings
